TransactionID,Amount,CustomerID,times,MerchantID,Name,Age,Address,AccountBalance,LastLogin,FraudIndicator,SuspiciousFlag,TransactionAmount,AnomalyScore,MerchantName,Location,Category
1,49.12164805813727,1093,1/1/2022 0:00,2190,Customer 1093,58,Address 1093,9225.503529349253,4/3/2022,0,0,19.264224369362687,0.025297374,Merchant 2190,Location 2190,Other
703,39.66912818687298,1594,1/30/2022 6:00,2190,Customer 1594,42,Address 1594,9033.341087191488,8/17/2023,0,0,83.32986956034557,0.3570715952051967,Merchant 2190,Location 2190,Travel
2,48.14447551094475,1384,1/1/2022 1:00,2039,Customer 1384,58,Address 1384,2268.0649259729034,1/19/2023,0,0,42.16591378665403,0.110443629,Merchant 2039,Location 2039,Travel
77,71.62668799857997,1014,1/4/2022 4:00,2039,Customer 1014,32,Address 1014,9462.670427076204,1/14/2022,0,0,43.70009147713954,0.1549783476707442,Merchant 2039,Location 2039,Retail
3,50.89219776943931,1904,1/1/2022 2:00,2436,Customer 1904,60,Address 1904,4564.202641488271,6/22/2024,0,0,89.38764061177214,0.3465665320671239,Merchant 2436,Location 2436,Other
291,49.49265691,1018,1/13/2022 2:00,2436,Customer 1018,37,Address 1018,3573.7450012776926,1/18/2022,0,0,82.31960566265138,0.5049771624536397,Merchant 2436,Location 2436,Food
11,17.45191768182572,1904,1/1/2022 10:00,2431,Customer 1904,60,Address 1904,4564.202641488271,6/22/2024,0,0,25.924590865958216,0.031537962,Merchant 2431,Location 2431,Other
105,79.29602477,1225,1/5/2022 8:00,2431,Customer 1225,31,Address 1225,7974.546941719042,8/13/2022,0,0,72.79463920817878,0.5963633979799752,Merchant 2431,Location 2431,Travel
545,73.81363068441193,1904,1/23/2022 16:00,2626,Customer 1904,60,Address 1904,4564.202641488271,6/22/2024,0,0,16.099850069317476,0.7849600337956223,Merchant 2626,Location 2626,Food
577,61.26103351417982,1904,1/25/2022 0:00,2108,Customer 1904,60,Address 1904,4564.202641488271,6/22/2024,0,0,84.13805562,0.2384766708900858,Merchant 2108,Location 2108,Food
121,24.88301839085493,1137,1/6/2022 0:00,2108,Customer 1137,50,Address 1137,4226.362347631139,5/17/2022,0,0,45.26641003060093,0.4516245619493753,Merchant 2108,Location 2108,Other
341,94.76951398,1296,1/15/2022 4:00,2108,Customer 1296,19,Address 1296,4983.910981,10/23/2022,0,0,23.516161055103534,0.3261642529201383,Merchant 2108,Location 2108,Retail
736,41.71999100435383,1800,1/31/2022 15:00,2108,Customer 1800,18,Address 1800,6347.408512308949,3/10/2024,0,0,86.81851364460704,0.6569375370508995,Merchant 2108,Location 2108,Online
916,55.74244612500053,1904,2/8/2022 3:00,2471,Customer 1904,60,Address 1904,4564.202641488271,6/22/2024,0,0,22.262738425270747,0.8028227294657998,Merchant 2471,Location 2471,Food
